World_bank_income_group,Region,Country,ISO3,Income_Quantiles,Indicator,DQQ_question,Unit,Year,Start_Date,End_Date,Mean_prevalence,Lower_95_CI,Upper_95_CI
High,Americas,United States,USA,All,Eggs,DQQ13,Percentage,2021,19_07_2021,04_10_2021,50.81,46.97,54.64
High,Americas,United States,USA,Poorest 20%,Eggs,DQQ13,Percentage,2021,19_07_2021,04_10_2021,57.15,47.55,66.49
High,Americas,United States,USA,Second 20%,Eggs,DQQ13,Percentage,2021,19_07_2021,04_10_2021,60.9,51.7,69.73
High,Americas,United States,USA,Middle 20%,Eggs,DQQ13,Percentage,2021,19_07_2021,04_10_2021,47.21,38.91,55.58
High,Americas,United States,USA,Fourth 20%,Eggs,DQQ13,Percentage,2021,19_07_2021,04_10_2021,47.24,39.64,54.9
High,Americas,United States,USA,Richest 20%,Eggs,DQQ13,Percentage,2021,19_07_2021,04_10_2021,41.61,34.07,49.35
High,Americas,United States,USA,All,Fast food,DQQ29,Percentage,2021,19_07_2021,04_10_2021,16.07,13.3,19.05
High,Americas,United States,USA,Poorest 20%,Fast food,DQQ29,Percentage,2021,19_07_2021,04_10_2021,14.69,9.03,21.45
High,Americas,United States,USA,Second 20%,Fast food,DQQ29,Percentage,2021,19_07_2021,04_10_2021,23.04,15.17,32
High,Americas,United States,USA,Middle 20%,Fast food,DQQ29,Percentage,2021,19_07_2021,04_10_2021,16.53,10.65,23.4
High,Americas,United States,USA,Fourth 20%,Fast food,DQQ29,Percentage,2021,19_07_2021,04_10_2021,15.28,10.34,20.98
High,Americas,United States,USA,Richest 20%,Fast food,DQQ29,Percentage,2021,19_07_2021,04_10_2021,10.83,6.36,16.31
High,Americas,United States,USA,All,Fish or seafood,DQQ20,Percentage,2021,19_07_2021,04_10_2021,23.03,20.01,26.18
High,Americas,United States,USA,Poorest 20%,Fish or seafood,DQQ20,Percentage,2021,19_07_2021,04_10_2021,20.34,13.42,28.29
High,Americas,United States,USA,Second 20%,Fish or seafood,DQQ20,Percentage,2021,19_07_2021,04_10_2021,28.46,20.39,37.31
High,Americas,United States,USA,Middle 20%,Fish or seafood,DQQ20,Percentage,2021,19_07_2021,04_10_2021,15.82,10.98,21.36
High,Americas,United States,USA,Fourth 20%,Fish or seafood,DQQ20,Percentage,2021,19_07_2021,04_10_2021,26.86,20.43,33.81
High,Americas,United States,USA,Richest 20%,Fish or seafood,DQQ20,Percentage,2021,19_07_2021,04_10_2021,23.66,17.93,29.91
High,Americas,United States,USA,All,Foods made from grains,DQQ1,Percentage,2021,19_07_2021,04_10_2021,83.71,80.88,86.35
High,Americas,United States,USA,Poorest 20%,Foods made from grains,DQQ1,Percentage,2021,19_07_2021,04_10_2021,86.37,79.75,91.84
High,Americas,United States,USA,Second 20%,Foods made from grains,DQQ1,Percentage,2021,19_07_2021,04_10_2021,89.27,83.63,93.84
High,Americas,United States,USA,Middle 20%,Foods made from grains,DQQ1,Percentage,2021,19_07_2021,04_10_2021,80.44,73.33,86.69
High,Americas,United States,USA,Fourth 20%,Foods made from grains,DQQ1,Percentage,2021,19_07_2021,04_10_2021,83.36,77.13,88.77
High,Americas,United States,USA,Richest 20%,Foods made from grains,DQQ1,Percentage,2021,19_07_2021,04_10_2021,79.12,72.19,85.29
High,Americas,United States,USA,All,Fruit juice and fruit drinks,DQQ27,Percentage,2021,19_07_2021,04_10_2021,39.05,35.32,42.85
High,Americas,United States,USA,Poorest 20%,Fruit juice and fruit drinks,DQQ27,Percentage,2021,19_07_2021,04_10_2021,45.33,35.76,55.08
High,Americas,United States,USA,Second 20%,Fruit juice and fruit drinks,DQQ27,Percentage,2021,19_07_2021,04_10_2021,46.48,37.27,55.81
High,Americas,United States,USA,Middle 20%,Fruit juice and fruit drinks,DQQ27,Percentage,2021,19_07_2021,04_10_2021,36.72,28.91,44.89
High,Americas,United States,USA,Fourth 20%,Fruit juice and fruit drinks,DQQ27,Percentage,2021,19_07_2021,04_10_2021,34.3,27.43,41.52
High,Americas,United States,USA,Richest 20%,Fruit juice and fruit drinks,DQQ27,Percentage,2021,19_07_2021,04_10_2021,32.49,25.23,40.19
High,Americas,United States,USA,All,Instant noodles,DQQ23,Percentage,2021,19_07_2021,04_10_2021,6.15,4.46,8.1
High,Americas,United States,USA,Poorest 20%,Instant noodles,DQQ23,Percentage,2021,19_07_2021,04_10_2021,7.55,4.04,12.04
High,Americas,United States,USA,Second 20%,Instant noodles,DQQ23,Percentage,2021,19_07_2021,04_10_2021,9.38,4.69,15.47
High,Americas,United States,USA,Middle 20%,Instant noodles,DQQ23,Percentage,2021,19_07_2021,04_10_2021,5.67,2.34,10.34
High,Americas,United States,USA,Fourth 20%,Instant noodles,DQQ23,Percentage,2021,19_07_2021,04_10_2021,4.69,2.17,8.11
High,Americas,United States,USA,Richest 20%,Instant noodles,DQQ23,Percentage,2021,19_07_2021,04_10_2021,3.49,0.77,8.07
High,Americas,United States,USA,All,MDD-W,NA,Percentage,2021,19_07_2021,04_10_2021,86.94,80.09,92.52
High,Americas,United States,USA,Poorest 20%,MDD-W,NA,Percentage,2021,19_07_2021,04_10_2021,89.43,74.21,98.33
High,Americas,United States,USA,Second 20%,MDD-W,NA,Percentage,2021,19_07_2021,04_10_2021,90.94,78.87,98.22
High,Americas,United States,USA,Middle 20%,MDD-W,NA,Percentage,2021,19_07_2021,04_10_2021,86.68,71.92,96.48
High,Americas,United States,USA,Fourth 20%,MDD-W,NA,Percentage,2021,19_07_2021,04_10_2021,81.44,61.04,95.38
High,Americas,United States,USA,Richest 20%,MDD-W,NA,Percentage,2021,19_07_2021,04_10_2021,82.73,59.39,97.27
High,Americas,United States,USA,All,"Meat, poultry, or fish",NA,Percentage,2021,19_07_2021,04_10_2021,90.52,87.9,92.86
High,Americas,United States,USA,Poorest 20%,"Meat, poultry, or fish",NA,Percentage,2021,19_07_2021,04_10_2021,88.42,80.76,94.33
High,Americas,United States,USA,Second 20%,"Meat, poultry, or fish",NA,Percentage,2021,19_07_2021,04_10_2021,92.36,85.62,97.1
High,Americas,United States,USA,Middle 20%,"Meat, poultry, or fish",NA,Percentage,2021,19_07_2021,04_10_2021,89.41,83.03,94.42
High,Americas,United States,USA,Fourth 20%,"Meat, poultry, or fish",NA,Percentage,2021,19_07_2021,04_10_2021,93.03,88.69,96.39
High,Americas,United States,USA,Richest 20%,"Meat, poultry, or fish",NA,Percentage,2021,19_07_2021,04_10_2021,89.4,83.43,94.16
High,Americas,United States,USA,All,Milk,DQQ25,Percentage,2021,19_07_2021,04_10_2021,48.04,44.23,51.87
High,Americas,United States,USA,Poorest 20%,Milk,DQQ25,Percentage,2021,19_07_2021,04_10_2021,54.1,44.49,63.57
High,Americas,United States,USA,Second 20%,Milk,DQQ25,Percentage,2021,19_07_2021,04_10_2021,46.94,37.79,56.2
High,Americas,United States,USA,Middle 20%,Milk,DQQ25,Percentage,2021,19_07_2021,04_10_2021,46.43,38.28,54.68
High,Americas,United States,USA,Fourth 20%,Milk,DQQ25,Percentage,2021,19_07_2021,04_10_2021,45.98,38.35,53.7
High,Americas,United States,USA,Richest 20%,Milk,DQQ25,Percentage,2021,19_07_2021,04_10_2021,46.76,38.94,54.67
High,Americas,United States,USA,All,Nuts or seeds,DQQ21,Percentage,2021,19_07_2021,04_10_2021,45.65,41.87,49.45
High,Americas,United States,USA,Poorest 20%,Nuts or seeds,DQQ21,Percentage,2021,19_07_2021,04_10_2021,39.78,30.69,49.23
High,Americas,United States,USA,Second 20%,Nuts or seeds,DQQ21,Percentage,2021,19_07_2021,04_10_2021,46.29,37.21,55.49
High,Americas,United States,USA,Middle 20%,Nuts or seeds,DQQ21,Percentage,2021,19_07_2021,04_10_2021,51.37,43.02,59.69
High,Americas,United States,USA,Fourth 20%,Nuts or seeds,DQQ21,Percentage,2021,19_07_2021,04_10_2021,44.9,37.46,52.45
High,Americas,United States,USA,Richest 20%,Nuts or seeds,DQQ21,Percentage,2021,19_07_2021,04_10_2021,45.9,38.16,53.73
High,Americas,United States,USA,All,Other fruits,DQQ10,Percentage,2021,19_07_2021,04_10_2021,73.34,69.79,76.75
High,Americas,United States,USA,Poorest 20%,Other fruits,DQQ10,Percentage,2021,19_07_2021,04_10_2021,74.55,65.94,82.29
High,Americas,United States,USA,Second 20%,Other fruits,DQQ10,Percentage,2021,19_07_2021,04_10_2021,72.81,63.97,80.83
High,Americas,United States,USA,Middle 20%,Other fruits,DQQ10,Percentage,2021,19_07_2021,04_10_2021,71.1,62.71,78.83
High,Americas,United States,USA,Fourth 20%,Other fruits,DQQ10,Percentage,2021,19_07_2021,04_10_2021,78.59,72.19,84.36
High,Americas,United States,USA,Richest 20%,Other fruits,DQQ10,Percentage,2021,19_07_2021,04_10_2021,69.67,61.53,77.23
High,Americas,United States,USA,All,Other sweets,DQQ12,Percentage,2021,19_07_2021,04_10_2021,38.78,35.13,42.5
High,Americas,United States,USA,Poorest 20%,Other sweets,DQQ12,Percentage,2021,19_07_2021,04_10_2021,42.35,33.16,51.81
High,Americas,United States,USA,Second 20%,Other sweets,DQQ12,Percentage,2021,19_07_2021,04_10_2021,38.18,29.32,47.45
High,Americas,United States,USA,Middle 20%,Other sweets,DQQ12,Percentage,2021,19_07_2021,04_10_2021,40.12,32.02,48.49
High,Americas,United States,USA,Fourth 20%,Other sweets,DQQ12,Percentage,2021,19_07_2021,04_10_2021,38.52,31.28,46.03
High,Americas,United States,USA,Richest 20%,Other sweets,DQQ12,Percentage,2021,19_07_2021,04_10_2021,34.75,28.02,41.8
High,Americas,United States,USA,All,Other vegetables,DQQ7,Percentage,2021,19_07_2021,04_10_2021,79.11,75.77,82.26
High,Americas,United States,USA,Poorest 20%,Other vegetables,DQQ7,Percentage,2021,19_07_2021,04_10_2021,75.32,66.51,83.18
High,Americas,United States,USA,Second 20%,Other vegetables,DQQ7,Percentage,2021,19_07_2021,04_10_2021,81.96,74.4,88.45
High,Americas,United States,USA,Middle 20%,Other vegetables,DQQ7,Percentage,2021,19_07_2021,04_10_2021,80.8,74.17,86.65
High,Americas,United States,USA,Fourth 20%,Other vegetables,DQQ7,Percentage,2021,19_07_2021,04_10_2021,85.28,79.25,90.43
High,Americas,United States,USA,Richest 20%,Other vegetables,DQQ7,Percentage,2021,19_07_2021,04_10_2021,72.2,63.68,79.97
High,Americas,United States,USA,All,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,19_07_2021,04_10_2021,24.84,21.54,28.3
High,Americas,United States,USA,Poorest 20%,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,19_07_2021,04_10_2021,29.19,20.99,38.15
High,Americas,United States,USA,Second 20%,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,19_07_2021,04_10_2021,26.18,18.06,35.23
High,Americas,United States,USA,Middle 20%,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,19_07_2021,04_10_2021,21.11,14.27,28.89
High,Americas,United States,USA,Fourth 20%,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,19_07_2021,04_10_2021,21.87,15.59,28.89
High,Americas,United States,USA,Richest 20%,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,19_07_2021,04_10_2021,25.86,19.42,32.88
High,Americas,United States,USA,All,Poultry,DQQ19,Percentage,2021,19_07_2021,04_10_2021,52.43,48.6,56.24
High,Americas,United States,USA,Poorest 20%,Poultry,DQQ19,Percentage,2021,19_07_2021,04_10_2021,49.38,39.76,59.03
High,Americas,United States,USA,Second 20%,Poultry,DQQ19,Percentage,2021,19_07_2021,04_10_2021,52.39,42.93,61.76
High,Americas,United States,USA,Middle 20%,Poultry,DQQ19,Percentage,2021,19_07_2021,04_10_2021,52.61,44.34,60.8
High,Americas,United States,USA,Fourth 20%,Poultry,DQQ19,Percentage,2021,19_07_2021,04_10_2021,53.65,45.95,61.27
High,Americas,United States,USA,Richest 20%,Poultry,DQQ19,Percentage,2021,19_07_2021,04_10_2021,54.11,46.21,61.9
High,Americas,United States,USA,All,Processed meats,DQQ16,Percentage,2021,19_07_2021,04_10_2021,45.68,41.87,49.51
High,Americas,United States,USA,Poorest 20%,Processed meats,DQQ16,Percentage,2021,19_07_2021,04_10_2021,47.73,38.13,57.42
High,Americas,United States,USA,Second 20%,Processed meats,DQQ16,Percentage,2021,19_07_2021,04_10_2021,47.43,38.2,56.74
High,Americas,United States,USA,Middle 20%,Processed meats,DQQ16,Percentage,2021,19_07_2021,04_10_2021,43.32,35.12,51.72
High,Americas,United States,USA,Fourth 20%,Processed meats,DQQ16,Percentage,2021,19_07_2021,04_10_2021,42.79,35.43,50.32
High,Americas,United States,USA,Richest 20%,Processed meats,DQQ16,Percentage,2021,19_07_2021,04_10_2021,47.13,39.19,55.14
High,Americas,United States,USA,All,Pulses,DQQ4,Percentage,2021,19_07_2021,04_10_2021,37.22,33.54,40.98
High,Americas,United States,USA,Poorest 20%,Pulses,DQQ4,Percentage,2021,19_07_2021,04_10_2021,47.51,37.9,57.22
High,Americas,United States,USA,Second 20%,Pulses,DQQ4,Percentage,2021,19_07_2021,04_10_2021,38.16,29.16,47.59
High,Americas,United States,USA,Middle 20%,Pulses,DQQ4,Percentage,2021,19_07_2021,04_10_2021,34.18,26.64,42.15
High,Americas,United States,USA,Fourth 20%,Pulses,DQQ4,Percentage,2021,19_07_2021,04_10_2021,30.81,24.1,37.96
High,Americas,United States,USA,Richest 20%,Pulses,DQQ4,Percentage,2021,19_07_2021,04_10_2021,35.46,28.31,42.95
High,Americas,United States,USA,All,Salty or fried snacks,NA,Percentage,2021,19_07_2021,04_10_2021,41.98,38.21,45.8
High,Americas,United States,USA,Poorest 20%,Salty or fried snacks,NA,Percentage,2021,19_07_2021,04_10_2021,48.49,38.86,58.18
High,Americas,United States,USA,Second 20%,Salty or fried snacks,NA,Percentage,2021,19_07_2021,04_10_2021,45.9,36.69,55.25
High,Americas,United States,USA,Middle 20%,Salty or fried snacks,NA,Percentage,2021,19_07_2021,04_10_2021,39.42,31.37,47.76
High,Americas,United States,USA,Fourth 20%,Salty or fried snacks,NA,Percentage,2021,19_07_2021,04_10_2021,39.6,32.19,47.26
High,Americas,United States,USA,Richest 20%,Salty or fried snacks,NA,Percentage,2021,19_07_2021,04_10_2021,36.53,29.23,44.16
High,Americas,United States,USA,All,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,19_07_2021,04_10_2021,38.62,34.89,42.42
High,Americas,United States,USA,Poorest 20%,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,19_07_2021,04_10_2021,41.47,32.28,50.98
High,Americas,United States,USA,Second 20%,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,19_07_2021,04_10_2021,45.81,36.52,55.26
High,Americas,United States,USA,Middle 20%,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,19_07_2021,04_10_2021,36.03,28,44.48
High,Americas,United States,USA,Fourth 20%,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,19_07_2021,04_10_2021,34.98,27.77,42.54
High,Americas,United States,USA,Richest 20%,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,19_07_2021,04_10_2021,34.83,27.56,42.48
High,Americas,United States,USA,All,Sweet beverages,NA,Percentage,2021,19_07_2021,04_10_2021,71.22,67.74,74.57
High,Americas,United States,USA,Poorest 20%,Sweet beverages,NA,Percentage,2021,19_07_2021,04_10_2021,74.89,66.23,82.64
High,Americas,United States,USA,Second 20%,Sweet beverages,NA,Percentage,2021,19_07_2021,04_10_2021,80.01,72.99,86.2
High,Americas,United States,USA,Middle 20%,Sweet beverages,NA,Percentage,2021,19_07_2021,04_10_2021,69.83,61.95,77.15
High,Americas,United States,USA,Fourth 20%,Sweet beverages,NA,Percentage,2021,19_07_2021,04_10_2021,67.71,60.05,74.91
High,Americas,United States,USA,Richest 20%,Sweet beverages,NA,Percentage,2021,19_07_2021,04_10_2021,63.71,55.81,71.25
High,Americas,United States,USA,All,Soft drink consumption,DQQ28,Percentage,2021,19_07_2021,04_10_2021,38.58,34.85,42.38
High,Americas,United States,USA,Poorest 20%,Soft drink consumption,DQQ28,Percentage,2021,19_07_2021,04_10_2021,39.66,30.52,49.19
High,Americas,United States,USA,Second 20%,Soft drink consumption,DQQ28,Percentage,2021,19_07_2021,04_10_2021,47.83,38.49,57.25
High,Americas,United States,USA,Middle 20%,Soft drink consumption,DQQ28,Percentage,2021,19_07_2021,04_10_2021,37.52,29.34,46.08
High,Americas,United States,USA,Fourth 20%,Soft drink consumption,DQQ28,Percentage,2021,19_07_2021,04_10_2021,33.8,26.9,41.07
High,Americas,United States,USA,Richest 20%,Soft drink consumption,DQQ28,Percentage,2021,19_07_2021,04_10_2021,34.1,26.71,41.9
High,Americas,United States,USA,All,Sweet foods,NA,Percentage,2021,19_07_2021,04_10_2021,59.55,55.7,63.35
High,Americas,United States,USA,Poorest 20%,Sweet foods,NA,Percentage,2021,19_07_2021,04_10_2021,59.72,49.93,69.14
High,Americas,United States,USA,Second 20%,Sweet foods,NA,Percentage,2021,19_07_2021,04_10_2021,57.96,48.62,67.03
High,Americas,United States,USA,Middle 20%,Sweet foods,NA,Percentage,2021,19_07_2021,04_10_2021,64.04,55.93,71.77
High,Americas,United States,USA,Fourth 20%,Sweet foods,NA,Percentage,2021,19_07_2021,04_10_2021,58.6,50.84,66.15
High,Americas,United States,USA,Richest 20%,Sweet foods,NA,Percentage,2021,19_07_2021,04_10_2021,57.45,49.17,65.52
High,Americas,United States,USA,All,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,19_07_2021,04_10_2021,36.48,32.8,40.24
High,Americas,United States,USA,Poorest 20%,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,19_07_2021,04_10_2021,41.51,32.01,51.33
High,Americas,United States,USA,Second 20%,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,19_07_2021,04_10_2021,38.46,29.68,47.63
High,Americas,United States,USA,Middle 20%,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,19_07_2021,04_10_2021,34.35,26.94,42.16
High,Americas,United States,USA,Fourth 20%,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,19_07_2021,04_10_2021,32.58,25.62,39.95
High,Americas,United States,USA,Richest 20%,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,19_07_2021,04_10_2021,35.51,28.19,43.19
High,Americas,United States,USA,All,Unprocessed red meat,NA,Percentage,2021,19_07_2021,04_10_2021,51.53,47.71,55.35
High,Americas,United States,USA,Poorest 20%,Unprocessed red meat,NA,Percentage,2021,19_07_2021,04_10_2021,50.91,41.2,60.59
High,Americas,United States,USA,Second 20%,Unprocessed red meat,NA,Percentage,2021,19_07_2021,04_10_2021,57.7,48.46,66.67
High,Americas,United States,USA,Middle 20%,Unprocessed red meat,NA,Percentage,2021,19_07_2021,04_10_2021,46.29,38.09,54.59
High,Americas,United States,USA,Fourth 20%,Unprocessed red meat,NA,Percentage,2021,19_07_2021,04_10_2021,50.67,43,58.32
High,Americas,United States,USA,Richest 20%,Unprocessed red meat,NA,Percentage,2021,19_07_2021,04_10_2021,52.12,44.2,59.99
High,Americas,United States,USA,All,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,19_07_2021,04_10_2021,20.97,17.88,24.23
High,Americas,United States,USA,Poorest 20%,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,19_07_2021,04_10_2021,23.45,15.89,31.97
High,Americas,United States,USA,Second 20%,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,19_07_2021,04_10_2021,28.8,20.51,37.88
High,Americas,United States,USA,Middle 20%,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,19_07_2021,04_10_2021,13.38,8.24,19.53
High,Americas,United States,USA,Fourth 20%,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,19_07_2021,04_10_2021,17.65,12.14,23.95
High,Americas,United States,USA,Richest 20%,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,19_07_2021,04_10_2021,21.58,15.5,28.35
High,Americas,United States,USA,All,Unprocessed red meat (ruminants),DQQ17,Percentage,2021,19_07_2021,04_10_2021,40.53,36.83,44.3
High,Americas,United States,USA,Poorest 20%,Unprocessed red meat (ruminants),DQQ17,Percentage,2021,19_07_2021,04_10_2021,36.52,27.61,45.92
High,Americas,United States,USA,Second 20%,Unprocessed red meat (ruminants),DQQ17,Percentage,2021,19_07_2021,04_10_2021,45.28,36.02,54.7
High,Americas,United States,USA,Middle 20%,Unprocessed red meat (ruminants),DQQ17,Percentage,2021,19_07_2021,04_10_2021,39.14,31.28,47.29
High,Americas,United States,USA,Fourth 20%,Unprocessed red meat (ruminants),DQQ17,Percentage,2021,19_07_2021,04_10_2021,42.15,34.73,49.75
High,Americas,United States,USA,Richest 20%,Unprocessed red meat (ruminants),DQQ17,Percentage,2021,19_07_2021,04_10_2021,39.59,31.97,47.48
High,Americas,United States,USA,All,Vitamin A-rich fruits,DQQ8,Percentage,2021,19_07_2021,04_10_2021,18.32,15.44,21.37
High,Americas,United States,USA,Poorest 20%,Vitamin A-rich fruits,DQQ8,Percentage,2021,19_07_2021,04_10_2021,18.88,11.88,27.07
High,Americas,United States,USA,Second 20%,Vitamin A-rich fruits,DQQ8,Percentage,2021,19_07_2021,04_10_2021,25.52,17.57,34.39
High,Americas,United States,USA,Middle 20%,Vitamin A-rich fruits,DQQ8,Percentage,2021,19_07_2021,04_10_2021,14.39,9.22,20.47
High,Americas,United States,USA,Fourth 20%,Vitamin A-rich fruits,DQQ8,Percentage,2021,19_07_2021,04_10_2021,16.04,11.19,21.57
High,Americas,United States,USA,Richest 20%,Vitamin A-rich fruits,DQQ8,Percentage,2021,19_07_2021,04_10_2021,16.77,11.5,22.8
High,Americas,United States,USA,All,Vitamin A-rich orange vegetables,DQQ5,Percentage,2021,19_07_2021,04_10_2021,46.68,42.87,50.51
High,Americas,United States,USA,Poorest 20%,Vitamin A-rich orange vegetables,DQQ5,Percentage,2021,19_07_2021,04_10_2021,46.37,36.75,56.12
High,Americas,United States,USA,Second 20%,Vitamin A-rich orange vegetables,DQQ5,Percentage,2021,19_07_2021,04_10_2021,48.31,38.95,57.72
High,Americas,United States,USA,Middle 20%,Vitamin A-rich orange vegetables,DQQ5,Percentage,2021,19_07_2021,04_10_2021,45.91,37.7,54.24
High,Americas,United States,USA,Fourth 20%,Vitamin A-rich orange vegetables,DQQ5,Percentage,2021,19_07_2021,04_10_2021,47.06,39.42,54.77
High,Americas,United States,USA,Richest 20%,Vitamin A-rich orange vegetables,DQQ5,Percentage,2021,19_07_2021,04_10_2021,45.76,38.02,53.6
High,Americas,United States,USA,All,White roots or tubers,DQQ3,Percentage,2021,19_07_2021,04_10_2021,38.76,35.09,42.5
High,Americas,United States,USA,Poorest 20%,White roots or tubers,DQQ3,Percentage,2021,19_07_2021,04_10_2021,44.92,35.69,54.32
High,Americas,United States,USA,Second 20%,White roots or tubers,DQQ3,Percentage,2021,19_07_2021,04_10_2021,41.42,32.46,50.68
High,Americas,United States,USA,Middle 20%,White roots or tubers,DQQ3,Percentage,2021,19_07_2021,04_10_2021,35.61,27.77,43.86
High,Americas,United States,USA,Fourth 20%,White roots or tubers,DQQ3,Percentage,2021,19_07_2021,04_10_2021,34.74,27.74,42.08
High,Americas,United States,USA,Richest 20%,White roots or tubers,DQQ3,Percentage,2021,19_07_2021,04_10_2021,37.15,29.71,44.91
High,Americas,United States,USA,All,Whole grains,DQQ2,Percentage,2021,19_07_2021,04_10_2021,38.77,35.08,42.52
High,Americas,United States,USA,Poorest 20%,Whole grains,DQQ2,Percentage,2021,19_07_2021,04_10_2021,35.81,26.86,45.3
High,Americas,United States,USA,Second 20%,Whole grains,DQQ2,Percentage,2021,19_07_2021,04_10_2021,35.4,26.84,44.46
High,Americas,United States,USA,Middle 20%,Whole grains,DQQ2,Percentage,2021,19_07_2021,04_10_2021,34.46,27.04,42.29
High,Americas,United States,USA,Fourth 20%,Whole grains,DQQ2,Percentage,2021,19_07_2021,04_10_2021,41.42,33.91,49.14
High,Americas,United States,USA,Richest 20%,Whole grains,DQQ2,Percentage,2021,19_07_2021,04_10_2021,46.72,38.86,54.66
High,Americas,United States,USA,All,Yogurt,DQQ15,Percentage,2021,19_07_2021,04_10_2021,18.01,15.2,21
High,Americas,United States,USA,Poorest 20%,Yogurt,DQQ15,Percentage,2021,19_07_2021,04_10_2021,15.05,9.02,22.3
High,Americas,United States,USA,Second 20%,Yogurt,DQQ15,Percentage,2021,19_07_2021,04_10_2021,19.62,12.44,27.96
High,Americas,United States,USA,Middle 20%,Yogurt,DQQ15,Percentage,2021,19_07_2021,04_10_2021,13.19,8.83,18.26
High,Americas,United States,USA,Fourth 20%,Yogurt,DQQ15,Percentage,2021,19_07_2021,04_10_2021,21.41,15.18,28.39
High,Americas,United States,USA,Richest 20%,Yogurt,DQQ15,Percentage,2021,19_07_2021,04_10_2021,20.76,14.99,27.21
High,Americas,United States,USA,All,Zero vegetable or fruit consumption,NA,Percentage,2021,19_07_2021,04_10_2021,5.62,3.83,7.72
High,Americas,United States,USA,Poorest 20%,Zero vegetable or fruit consumption,NA,Percentage,2021,19_07_2021,04_10_2021,7.79,3.53,13.53
High,Americas,United States,USA,Second 20%,Zero vegetable or fruit consumption,NA,Percentage,2021,19_07_2021,04_10_2021,3,0.91,6.24
High,Americas,United States,USA,Middle 20%,Zero vegetable or fruit consumption,NA,Percentage,2021,19_07_2021,04_10_2021,6.4,2.64,11.67
High,Americas,United States,USA,Fourth 20%,Zero vegetable or fruit consumption,NA,Percentage,2021,19_07_2021,04_10_2021,4.21,1.31,8.64
High,Americas,United States,USA,Richest 20%,Zero vegetable or fruit consumption,NA,Percentage,2021,19_07_2021,04_10_2021,6.69,2.34,13.05
Upper middle,Europe and Central Asia,Turkey,TUR,All,All-5,NA,Percentage,2021,28_09_2021,22_10_2021,51.39,47.49,55.29
Upper middle,Europe and Central Asia,Turkey,TUR,Poorest 20%,All-5,NA,Percentage,2021,28_09_2021,22_10_2021,42.32,33.17,51.75
Upper middle,Europe and Central Asia,Turkey,TUR,Second 20%,All-5,NA,Percentage,2021,28_09_2021,22_10_2021,43.74,34.71,52.98
Upper middle,Europe and Central Asia,Turkey,TUR,Middle 20%,All-5,NA,Percentage,2021,28_09_2021,22_10_2021,52.89,44.11,61.57
Upper middle,Europe and Central Asia,Turkey,TUR,Fourth 20%,All-5,NA,Percentage,2021,28_09_2021,22_10_2021,58.77,50.27,67.02
Upper middle,Europe and Central Asia,Turkey,TUR,Richest 20%,All-5,NA,Percentage,2021,28_09_2021,22_10_2021,59.2,51.47,66.71
Upper middle,Europe and Central Asia,Turkey,TUR,All,At least one vegetable,NA,Percentage,2021,28_09_2021,22_10_2021,88.99,86.45,91.3
Upper middle,Europe and Central Asia,Turkey,TUR,Poorest 20%,At least one vegetable,NA,Percentage,2021,28_09_2021,22_10_2021,85.78,79.1,91.36
Upper middle,Europe and Central Asia,Turkey,TUR,Second 20%,At least one vegetable,NA,Percentage,2021,28_09_2021,22_10_2021,88.63,82.15,93.8
Upper middle,Europe and Central Asia,Turkey,TUR,Middle 20%,At least one vegetable,NA,Percentage,2021,28_09_2021,22_10_2021,92.3,87.17,96.21
Upper middle,Europe and Central Asia,Turkey,TUR,Fourth 20%,At least one vegetable,NA,Percentage,2021,28_09_2021,22_10_2021,91.83,86.26,96.05
Upper middle,Europe and Central Asia,Turkey,TUR,Richest 20%,At least one vegetable,NA,Percentage,2021,28_09_2021,22_10_2021,86.42,80.14,91.66
Upper middle,Europe and Central Asia,Turkey,TUR,All,At least one fruit,NA,Percentage,2021,28_09_2021,22_10_2021,75,71.62,78.24
