World_bank_income_group,Region,Country,ISO3,Subgroup,Indicator,DQQ_question,Unit,Year,Start_Date,End_Date,Mean_prevalence,Lower_95_CI,Upper_95_CI,Difference,Diff_LCI,Diff_UCI,Diff_p
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Citrus,DQQ9,Percentage,2021,03_09_2021,19_10_2021,14.02,10.74,17.65,-2.15,NA,NA,0.44
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Citrus,DQQ9,Percentage,2021,03_09_2021,19_10_2021,16.16,12,20.81,-2.15,-2.15,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Citrus,DQQ9,Percentage,2021,03_09_2021,19_10_2021,16.07,11.88,20.74,2.55,NA,NA,0.44
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Citrus,DQQ9,Percentage,2021,03_09_2021,19_10_2021,13.51,9.31,18.35,2.55,NA,NA,0.44
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Dairy,NA,Percentage,2021,03_09_2021,19_10_2021,86.38,82.96,89.47,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Dairy,NA,Percentage,2021,03_09_2021,19_10_2021,84.73,78.4,90.13,-3.13,NA,NA,0.34
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Dairy,NA,Percentage,2021,03_09_2021,19_10_2021,87.86,84.29,91.02,-3.13,-3.13,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Dairy,NA,Percentage,2021,03_09_2021,19_10_2021,84.87,80.54,88.74,-4.22,NA,NA,0.25
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Dairy,NA,Percentage,2021,03_09_2021,19_10_2021,89.09,82.47,94.29,-4.22,NA,NA,0.25
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Dark green leafy vegetables,DQQ6,Percentage,2021,03_09_2021,19_10_2021,12.37,9.67,15.35,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Dark green leafy vegetables,DQQ6,Percentage,2021,03_09_2021,19_10_2021,9.57,6.26,13.51,-5.29,NA,NA,0.03
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Dark green leafy vegetables,DQQ6,Percentage,2021,03_09_2021,19_10_2021,14.86,11.37,18.73,-5.29,-5.29,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Dark green leafy vegetables,DQQ6,Percentage,2021,03_09_2021,19_10_2021,11.31,8.19,14.86,-2.95,NA,NA,0.29
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Dark green leafy vegetables,DQQ6,Percentage,2021,03_09_2021,19_10_2021,14.26,9.74,19.48,-2.95,NA,NA,0.29
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Deep fried foods,DQQ24,Percentage,2021,03_09_2021,19_10_2021,22.89,19.7,26.24,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Deep fried foods,DQQ24,Percentage,2021,03_09_2021,19_10_2021,24.8,19.98,29.96,3.61,NA,NA,0.29
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Deep fried foods,DQQ24,Percentage,2021,03_09_2021,19_10_2021,21.19,16.93,25.78,3.61,3.61,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Deep fried foods,DQQ24,Percentage,2021,03_09_2021,19_10_2021,23.78,19.77,28.04,2.49,NA,NA,0.53
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Deep fried foods,DQQ24,Percentage,2021,03_09_2021,19_10_2021,21.3,15.04,28.31,2.49,NA,NA,0.53
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Eggs,DQQ13,Percentage,2021,03_09_2021,19_10_2021,62.02,57.32,66.62,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Eggs,DQQ13,Percentage,2021,03_09_2021,19_10_2021,63.31,56.53,69.84,2.45,NA,NA,0.5
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Eggs,DQQ13,Percentage,2021,03_09_2021,19_10_2021,60.87,55.83,65.79,2.45,2.45,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Eggs,DQQ13,Percentage,2021,03_09_2021,19_10_2021,59.8,54.91,64.59,-6.21,NA,NA,0.25
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Eggs,DQQ13,Percentage,2021,03_09_2021,19_10_2021,66.01,55.16,76.07,-6.21,NA,NA,0.25
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Fast food,DQQ29,Percentage,2021,03_09_2021,19_10_2021,7.17,5.15,9.49,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Fast food,DQQ29,Percentage,2021,03_09_2021,19_10_2021,7.4,4.68,10.67,0.43,NA,NA,0.85
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Fast food,DQQ29,Percentage,2021,03_09_2021,19_10_2021,6.97,4.14,10.46,0.43,0.43,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Fast food,DQQ29,Percentage,2021,03_09_2021,19_10_2021,9.58,6.66,12.97,6.72,NA,NA,0
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Fast food,DQQ29,Percentage,2021,03_09_2021,19_10_2021,2.87,1.06,5.51,6.72,NA,NA,0
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Fish or seafood,DQQ20,Percentage,2021,03_09_2021,19_10_2021,18.62,15.32,22.17,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Fish or seafood,DQQ20,Percentage,2021,03_09_2021,19_10_2021,18.06,14.26,22.21,-1.06,NA,NA,0.7
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Fish or seafood,DQQ20,Percentage,2021,03_09_2021,19_10_2021,19.12,14.72,23.95,-1.06,-1.06,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Fish or seafood,DQQ20,Percentage,2021,03_09_2021,19_10_2021,17.48,13.65,21.68,-3.17,NA,NA,0.4
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Fish or seafood,DQQ20,Percentage,2021,03_09_2021,19_10_2021,20.66,14.44,27.66,-3.17,NA,NA,0.4
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Foods made from grains,DQQ1,Percentage,2021,03_09_2021,19_10_2021,88.91,85.49,91.93,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Foods made from grains,DQQ1,Percentage,2021,03_09_2021,19_10_2021,89.61,84.48,93.81,1.32,NA,NA,0.59
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Foods made from grains,DQQ1,Percentage,2021,03_09_2021,19_10_2021,88.29,84.79,91.39,1.32,1.32,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Foods made from grains,DQQ1,Percentage,2021,03_09_2021,19_10_2021,85.5,80.55,89.83,-9.5,NA,NA,0
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Foods made from grains,DQQ1,Percentage,2021,03_09_2021,19_10_2021,95.01,92.36,97.11,-9.5,NA,NA,0
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Fruit juice and fruit drinks,DQQ27,Percentage,2021,03_09_2021,19_10_2021,30.86,27.22,34.63,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Fruit juice and fruit drinks,DQQ27,Percentage,2021,03_09_2021,19_10_2021,29.41,23.83,35.32,-2.73,NA,NA,0.45
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Fruit juice and fruit drinks,DQQ27,Percentage,2021,03_09_2021,19_10_2021,32.15,27.78,36.67,-2.73,-2.73,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Fruit juice and fruit drinks,DQQ27,Percentage,2021,03_09_2021,19_10_2021,31.38,26.76,36.19,1.45,NA,NA,0.72
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Fruit juice and fruit drinks,DQQ27,Percentage,2021,03_09_2021,19_10_2021,29.93,24.45,35.71,1.45,NA,NA,0.72
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Instant noodles,DQQ23,Percentage,2021,03_09_2021,19_10_2021,11.63,8.83,14.76,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Instant noodles,DQQ23,Percentage,2021,03_09_2021,19_10_2021,14.79,10.66,19.47,5.98,NA,NA,0.01
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Instant noodles,DQQ23,Percentage,2021,03_09_2021,19_10_2021,8.81,6.01,12.09,5.98,5.98,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Instant noodles,DQQ23,Percentage,2021,03_09_2021,19_10_2021,11.4,8.41,14.79,-0.65,NA,NA,0.84
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Instant noodles,DQQ23,Percentage,2021,03_09_2021,19_10_2021,12.05,6.57,18.91,-0.65,NA,NA,0.84
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,MDD-W,NA,Percentage,2021,03_09_2021,19_10_2021,88.02,83.19,92.13,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,MDD-W,NA,Percentage,2021,03_09_2021,19_10_2021,NA,NA,NA,-88.02,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,MDD-W,NA,Percentage,2021,03_09_2021,19_10_2021,88.02,83.19,92.13,-88.02,-88.02,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,MDD-W,NA,Percentage,2021,03_09_2021,19_10_2021,87.05,80.92,92.14,-2.72,NA,NA,0.57
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,MDD-W,NA,Percentage,2021,03_09_2021,19_10_2021,89.78,80.59,96.26,-2.72,NA,NA,0.57
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,"Meat, poultry, or fish",NA,Percentage,2021,03_09_2021,19_10_2021,90.36,87.78,92.66,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,"Meat, poultry, or fish",NA,Percentage,2021,03_09_2021,19_10_2021,91.18,87.35,94.37,1.55,NA,NA,0.49
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,"Meat, poultry, or fish",NA,Percentage,2021,03_09_2021,19_10_2021,89.63,86.38,92.48,1.55,1.55,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,"Meat, poultry, or fish",NA,Percentage,2021,03_09_2021,19_10_2021,91.06,87.7,93.92,1.95,NA,NA,0.52
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,"Meat, poultry, or fish",NA,Percentage,2021,03_09_2021,19_10_2021,89.11,83.23,93.85,1.95,NA,NA,0.52
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Milk,DQQ25,Percentage,2021,03_09_2021,19_10_2021,72.53,68.36,76.5,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Milk,DQQ25,Percentage,2021,03_09_2021,19_10_2021,68.96,62.64,74.94,-6.76,NA,NA,0.05
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Milk,DQQ25,Percentage,2021,03_09_2021,19_10_2021,75.72,71.23,79.94,-6.76,-6.76,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Milk,DQQ25,Percentage,2021,03_09_2021,19_10_2021,72.07,66.95,76.92,-1.27,NA,NA,0.81
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Milk,DQQ25,Percentage,2021,03_09_2021,19_10_2021,73.34,64.02,81.72,-1.27,NA,NA,0.81
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Nuts or seeds,DQQ21,Percentage,2021,03_09_2021,19_10_2021,21.8,18.4,25.41,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Nuts or seeds,DQQ21,Percentage,2021,03_09_2021,19_10_2021,23.34,18.96,28.03,2.92,NA,NA,0.32
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Nuts or seeds,DQQ21,Percentage,2021,03_09_2021,19_10_2021,20.42,16.12,25.09,2.92,2.92,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Nuts or seeds,DQQ21,Percentage,2021,03_09_2021,19_10_2021,21.59,17.77,25.68,-0.58,NA,NA,0.89
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Nuts or seeds,DQQ21,Percentage,2021,03_09_2021,19_10_2021,22.18,15.01,30.28,-0.58,NA,NA,0.89
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Other fruits,DQQ10,Percentage,2021,03_09_2021,19_10_2021,69.09,64.82,73.2,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Other fruits,DQQ10,Percentage,2021,03_09_2021,19_10_2021,65.93,59.97,71.64,-5.98,NA,NA,0.08
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Other fruits,DQQ10,Percentage,2021,03_09_2021,19_10_2021,71.91,66.85,76.7,-5.98,-5.98,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Other fruits,DQQ10,Percentage,2021,03_09_2021,19_10_2021,69.02,63.8,74.01,-0.17,NA,NA,0.97
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Other fruits,DQQ10,Percentage,2021,03_09_2021,19_10_2021,69.2,61.15,76.69,-0.17,NA,NA,0.97
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Other sweets,DQQ12,Percentage,2021,03_09_2021,19_10_2021,62.18,58.25,66.04,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Other sweets,DQQ12,Percentage,2021,03_09_2021,19_10_2021,60.41,54.46,66.21,-3.35,NA,NA,0.42
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Other sweets,DQQ12,Percentage,2021,03_09_2021,19_10_2021,63.76,58.1,69.24,-3.35,-3.35,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Other sweets,DQQ12,Percentage,2021,03_09_2021,19_10_2021,62.01,57.39,66.52,-0.48,NA,NA,0.92
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Other sweets,DQQ12,Percentage,2021,03_09_2021,19_10_2021,62.49,53.73,70.86,-0.48,NA,NA,0.92
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Other vegetables,DQQ7,Percentage,2021,03_09_2021,19_10_2021,85.29,82.26,88.08,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Other vegetables,DQQ7,Percentage,2021,03_09_2021,19_10_2021,83.69,79.26,87.69,-3.02,NA,NA,0.32
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Other vegetables,DQQ7,Percentage,2021,03_09_2021,19_10_2021,86.71,82.38,90.52,-3.02,-3.02,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Other vegetables,DQQ7,Percentage,2021,03_09_2021,19_10_2021,85.3,81.65,88.61,0.04,NA,NA,0.99
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Other vegetables,DQQ7,Percentage,2021,03_09_2021,19_10_2021,85.27,78.8,90.73,0.04,NA,NA,0.99
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,03_09_2021,19_10_2021,19.47,16.12,23.06,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,03_09_2021,19_10_2021,20.46,15.51,25.9,1.86,NA,NA,0.56
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,03_09_2021,19_10_2021,18.59,14.53,23.03,1.86,1.86,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,03_09_2021,19_10_2021,19.3,15.28,23.67,-0.48,NA,NA,0.9
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Packaged ultra-processed salty snacks,DQQ22,Percentage,2021,03_09_2021,19_10_2021,19.78,13.52,26.9,-0.48,NA,NA,0.9
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Poultry,DQQ19,Percentage,2021,03_09_2021,19_10_2021,40.38,35.82,45.03,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Poultry,DQQ19,Percentage,2021,03_09_2021,19_10_2021,39.3,33.89,44.84,-2.05,NA,NA,0.62
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Poultry,DQQ19,Percentage,2021,03_09_2021,19_10_2021,41.35,34.81,48.04,-2.05,-2.05,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Poultry,DQQ19,Percentage,2021,03_09_2021,19_10_2021,43.39,37.6,49.28,8.38,NA,NA,0.14
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Poultry,DQQ19,Percentage,2021,03_09_2021,19_10_2021,35.01,26.1,44.48,8.38,NA,NA,0.14
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Processed meats,DQQ16,Percentage,2021,03_09_2021,19_10_2021,49.6,45.29,53.91,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Processed meats,DQQ16,Percentage,2021,03_09_2021,19_10_2021,54.69,48.88,60.44,9.64,NA,NA,0.02
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Processed meats,DQQ16,Percentage,2021,03_09_2021,19_10_2021,45.05,39.21,50.95,9.64,9.64,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Processed meats,DQQ16,Percentage,2021,03_09_2021,19_10_2021,50.37,44.86,55.87,2.16,NA,NA,0.68
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Processed meats,DQQ16,Percentage,2021,03_09_2021,19_10_2021,48.21,39.67,56.81,2.16,NA,NA,0.68
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Pulses,DQQ4,Percentage,2021,03_09_2021,19_10_2021,16.25,13.02,19.76,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Pulses,DQQ4,Percentage,2021,03_09_2021,19_10_2021,15.74,11.48,20.54,-0.96,NA,NA,0.72
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Pulses,DQQ4,Percentage,2021,03_09_2021,19_10_2021,16.7,12.91,20.87,-0.96,-0.96,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Pulses,DQQ4,Percentage,2021,03_09_2021,19_10_2021,14.3,10.82,18.16,-5.44,NA,NA,0.14
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Pulses,DQQ4,Percentage,2021,03_09_2021,19_10_2021,19.74,13.58,26.73,-5.44,NA,NA,0.14
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Salty or fried snacks,NA,Percentage,2021,03_09_2021,19_10_2021,40.35,35.67,45.12,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Salty or fried snacks,NA,Percentage,2021,03_09_2021,19_10_2021,44.69,38.1,51.38,8.23,NA,NA,0.05
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Salty or fried snacks,NA,Percentage,2021,03_09_2021,19_10_2021,36.46,30.85,42.27,8.23,8.23,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Salty or fried snacks,NA,Percentage,2021,03_09_2021,19_10_2021,41.7,35.95,47.57,3.78,NA,NA,0.48
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Salty or fried snacks,NA,Percentage,2021,03_09_2021,19_10_2021,37.92,28.93,47.35,3.78,NA,NA,0.48
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,03_09_2021,19_10_2021,29.86,25.86,34.01,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,03_09_2021,19_10_2021,33.39,27.92,39.1,6.68,NA,NA,0.07
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,03_09_2021,19_10_2021,26.71,21.72,32.01,6.68,6.68,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,03_09_2021,19_10_2021,32.12,27.41,37.03,6.32,NA,NA,0.17
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,"Salty snacks, instant noodles, or fast food",NA,Percentage,2021,03_09_2021,19_10_2021,25.8,18.3,34.1,6.32,NA,NA,0.17
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Sweet beverages,NA,Percentage,2021,03_09_2021,19_10_2021,63.59,59.04,68.02,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Sweet beverages,NA,Percentage,2021,03_09_2021,19_10_2021,66.09,60.1,71.82,4.71,NA,NA,0.2
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Sweet beverages,NA,Percentage,2021,03_09_2021,19_10_2021,61.38,55.65,66.95,4.71,4.71,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Sweet beverages,NA,Percentage,2021,03_09_2021,19_10_2021,64.74,59.81,69.53,3.21,NA,NA,0.45
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Sweet beverages,NA,Percentage,2021,03_09_2021,19_10_2021,61.54,53.57,69.21,3.21,NA,NA,0.45
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Soft drink consumption,DQQ28,Percentage,2021,03_09_2021,19_10_2021,33.97,29.86,38.21,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Soft drink consumption,DQQ28,Percentage,2021,03_09_2021,19_10_2021,39.2,34.12,44.4,9.88,NA,NA,0.01
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Soft drink consumption,DQQ28,Percentage,2021,03_09_2021,19_10_2021,29.32,23.79,35.17,9.88,9.88,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Soft drink consumption,DQQ28,Percentage,2021,03_09_2021,19_10_2021,34.04,29.38,38.86,0.18,NA,NA,0.97
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Soft drink consumption,DQQ28,Percentage,2021,03_09_2021,19_10_2021,33.85,26.35,41.8,0.18,NA,NA,0.97
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Sweet foods,NA,Percentage,2021,03_09_2021,19_10_2021,82.23,78.5,85.67,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Sweet foods,NA,Percentage,2021,03_09_2021,19_10_2021,80.5,74.97,85.5,-3.26,NA,NA,0.25
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Sweet foods,NA,Percentage,2021,03_09_2021,19_10_2021,83.76,79.73,87.43,-3.26,-3.26,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Sweet foods,NA,Percentage,2021,03_09_2021,19_10_2021,82.4,77.98,86.42,0.48,NA,NA,0.91
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Sweet foods,NA,Percentage,2021,03_09_2021,19_10_2021,81.92,74.34,88.42,0.48,NA,NA,0.91
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,03_09_2021,19_10_2021,30.39,25.94,35.04,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,03_09_2021,19_10_2021,30.12,24.17,36.42,-0.52,NA,NA,0.9
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,03_09_2021,19_10_2021,30.64,24.85,36.75,-0.52,-0.52,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,03_09_2021,19_10_2021,30.05,24.85,35.52,-0.95,NA,NA,0.82
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,"Sweet tea, coffee, or cocoa",DQQ26,Percentage,2021,03_09_2021,19_10_2021,31.01,23.64,38.89,-0.95,NA,NA,0.82
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Unprocessed red meat,NA,Percentage,2021,03_09_2021,19_10_2021,64.89,60.39,69.25,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Unprocessed red meat,NA,Percentage,2021,03_09_2021,19_10_2021,65.35,59.02,71.41,0.88,NA,NA,0.8
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Unprocessed red meat,NA,Percentage,2021,03_09_2021,19_10_2021,64.47,59.49,69.3,0.88,0.88,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Unprocessed red meat,NA,Percentage,2021,03_09_2021,19_10_2021,62.94,57.79,67.94,-5.42,NA,NA,0.28
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Unprocessed red meat,NA,Percentage,2021,03_09_2021,19_10_2021,68.36,59.24,76.83,-5.42,NA,NA,0.28
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,03_09_2021,19_10_2021,20.27,17.04,23.71,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,03_09_2021,19_10_2021,21.77,16.88,27.1,2.84,NA,NA,0.4
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,03_09_2021,19_10_2021,18.93,14.78,23.47,2.84,2.84,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Urban,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,03_09_2021,19_10_2021,19.12,14.9,23.72,-3.23,NA,NA,0.4
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Rural,Unprocessed red meat (non-ruminants),DQQ18,Percentage,2021,03_09_2021,19_10_2021,22.35,16.47,28.84,-3.23,NA,NA,0.4
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,All,Unprocessed red meat (ruminants),DQQ17,Percentage,2021,03_09_2021,19_10_2021,56.4,51.89,60.86,NA,NA,NA,NA
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Male,Unprocessed red meat (ruminants),DQQ17,Percentage,2021,03_09_2021,19_10_2021,55.96,49.43,62.4,-0.83,NA,NA,0.82
Upper middle,Europe and Central Asia,Kazakhstan,KAZ,Female,Unprocessed red meat (ruminants),DQQ17,Percentage,2021,03_09_2021,19_10_2021,56.79,51.68,61.83,-0.83,-0.83,NA,NA
