World_bank_income_group,Region,Country,ISO3,Subgroup,Indicator,DQQ,Year,Mean_prevalence,Lower_95_CI,Upper_95_CI
Lower middle,Americas,Bolivia,BOL,Urban,Fast food,DQQ29,2021,3.45,1.8,5.61
Lower middle,Americas,Bolivia,BOL,Rural,Fast food,DQQ29,2021,1.51,0.42,3.28
Lower middle,Americas,Bolivia,BOL,All,Fish or seafood,DQQ20,2021,14.8,11.86,17.99
Lower middle,Americas,Bolivia,BOL,Male,Fish or seafood,DQQ20,2021,15.9,11.61,20.71
Lower middle,Americas,Bolivia,BOL,Female,Fish or seafood,DQQ20,2021,13.65,9.85,17.97
Lower middle,Americas,Bolivia,BOL,Urban,Fish or seafood,DQQ20,2021,14.08,10.77,17.76
Lower middle,Americas,Bolivia,BOL,Rural,Fish or seafood,DQQ20,2021,15.62,10.6,21.42
Lower middle,Americas,Bolivia,BOL,All,Foods made from grains,DQQ1,2021,83.92,80.04,87.45
Lower middle,Americas,Bolivia,BOL,Male,Foods made from grains,DQQ1,2021,83.57,77.8,88.63
Lower middle,Americas,Bolivia,BOL,Female,Foods made from grains,DQQ1,2021,84.28,78.9,89
Lower middle,Americas,Bolivia,BOL,Urban,Foods made from grains,DQQ1,2021,87.14,83.26,90.57
Lower middle,Americas,Bolivia,BOL,Rural,Foods made from grains,DQQ1,2021,79.83,72.44,86.32
Lower middle,Americas,Bolivia,BOL,All,Fruit juice and fruit drinks,DQQ27,2021,41.42,37.21,45.69
Lower middle,Americas,Bolivia,BOL,Male,Fruit juice and fruit drinks,DQQ27,2021,47.6,41.47,53.75
Lower middle,Americas,Bolivia,BOL,Female,Fruit juice and fruit drinks,DQQ27,2021,35,29.55,40.65
Lower middle,Americas,Bolivia,BOL,Urban,Fruit juice and fruit drinks,DQQ27,2021,44.91,39.73,50.14
Lower middle,Americas,Bolivia,BOL,Rural,Fruit juice and fruit drinks,DQQ27,2021,36.8,29.93,43.95
Lower middle,Americas,Bolivia,BOL,All,Instant noodles,DQQ23,2021,8.71,6.14,11.68
Lower middle,Americas,Bolivia,BOL,Male,Instant noodles,DQQ23,2021,11.13,7.15,15.87
Lower middle,Americas,Bolivia,BOL,Female,Instant noodles,DQQ23,2021,6.19,3.32,9.88
Lower middle,Americas,Bolivia,BOL,Urban,Instant noodles,DQQ23,2021,7.07,4.32,10.42
Lower middle,Americas,Bolivia,BOL,Rural,Instant noodles,DQQ23,2021,10.9,6.41,16.39
Lower middle,Americas,Bolivia,BOL,All,MDD-W,NA,2021,86.82,82.4,90.68
Lower middle,Americas,Bolivia,BOL,Male,MDD-W,NA,2021,0,NA,NA
Lower middle,Americas,Bolivia,BOL,Female,MDD-W,NA,2021,86.82,82.39,90.69
Lower middle,Americas,Bolivia,BOL,Urban,MDD-W,NA,2021,86.49,80.93,91.22
Lower middle,Americas,Bolivia,BOL,Rural,MDD-W,NA,2021,87.22,79.8,93.14
Lower middle,Americas,Bolivia,BOL,All,"Meat, poultry, or fish",NA,2021,87.87,84.45,90.92
Lower middle,Americas,Bolivia,BOL,Male,"Meat, poultry, or fish",NA,2021,89.28,84.79,93.07
Lower middle,Americas,Bolivia,BOL,Female,"Meat, poultry, or fish",NA,2021,86.4,81.03,91
Lower middle,Americas,Bolivia,BOL,Urban,"Meat, poultry, or fish",NA,2021,89.11,85.45,92.3
Lower middle,Americas,Bolivia,BOL,Rural,"Meat, poultry, or fish",NA,2021,86.2,79.7,91.6
Lower middle,Americas,Bolivia,BOL,All,Milk,DQQ25,2021,38.38,34.23,42.61
Lower middle,Americas,Bolivia,BOL,Male,Milk,DQQ25,2021,37.53,31.82,43.43
Lower middle,Americas,Bolivia,BOL,Female,Milk,DQQ25,2021,39.26,33.25,45.43
Lower middle,Americas,Bolivia,BOL,Urban,Milk,DQQ25,2021,37.63,32.75,42.65
Lower middle,Americas,Bolivia,BOL,Rural,Milk,DQQ25,2021,39.54,32.48,46.83
Lower middle,Americas,Bolivia,BOL,All,Nuts or seeds,DQQ21,2021,20.5,16.84,24.42
Lower middle,Americas,Bolivia,BOL,Male,Nuts or seeds,DQQ21,2021,20.38,15.35,25.92
Lower middle,Americas,Bolivia,BOL,Female,Nuts or seeds,DQQ21,2021,20.62,15.44,26.34
Lower middle,Americas,Bolivia,BOL,Urban,Nuts or seeds,DQQ21,2021,20.69,16.26,25.5
Lower middle,Americas,Bolivia,BOL,Rural,Nuts or seeds,DQQ21,2021,20.23,14.25,26.97
Lower middle,Americas,Bolivia,BOL,All,Other fruits,DQQ10,2021,61.87,57.48,66.17
Lower middle,Americas,Bolivia,BOL,Male,Other fruits,DQQ10,2021,63.52,57.29,69.52
Lower middle,Americas,Bolivia,BOL,Female,Other fruits,DQQ10,2021,60.16,53.91,66.25
Lower middle,Americas,Bolivia,BOL,Urban,Other fruits,DQQ10,2021,63.01,57.75,68.12
Lower middle,Americas,Bolivia,BOL,Rural,Other fruits,DQQ10,2021,60.42,52.94,67.66
Lower middle,Americas,Bolivia,BOL,All,Other sweets,DQQ12,2021,32.7,28.83,36.7
Lower middle,Americas,Bolivia,BOL,Male,Other sweets,DQQ12,2021,34.59,29.11,40.29
Lower middle,Americas,Bolivia,BOL,Female,Other sweets,DQQ12,2021,30.73,25.3,36.44
Lower middle,Americas,Bolivia,BOL,Urban,Other sweets,DQQ12,2021,34.82,30.01,39.79
Lower middle,Americas,Bolivia,BOL,Rural,Other sweets,DQQ12,2021,29.89,23.67,36.5
Lower middle,Americas,Bolivia,BOL,All,Other vegetables,DQQ7,2021,82.03,78.5,85.31
Lower middle,Americas,Bolivia,BOL,Male,Other vegetables,DQQ7,2021,83.69,79.01,87.88
Lower middle,Americas,Bolivia,BOL,Female,Other vegetables,DQQ7,2021,80.3,74.9,85.2
Lower middle,Americas,Bolivia,BOL,Urban,Other vegetables,DQQ7,2021,83.12,78.93,86.93
Lower middle,Americas,Bolivia,BOL,Rural,Other vegetables,DQQ7,2021,80.53,74.33,86.05
Lower middle,Americas,Bolivia,BOL,All,Packaged ultra-processed salty snacks,DQQ22,2021,13.03,10.04,16.34
Lower middle,Americas,Bolivia,BOL,Male,Packaged ultra-processed salty snacks,DQQ22,2021,13.4,9.34,18.06
Lower middle,Americas,Bolivia,BOL,Female,Packaged ultra-processed salty snacks,DQQ22,2021,12.65,8.44,17.56
Lower middle,Americas,Bolivia,BOL,Urban,Packaged ultra-processed salty snacks,DQQ22,2021,13.92,10.05,18.31
Lower middle,Americas,Bolivia,BOL,Rural,Packaged ultra-processed salty snacks,DQQ22,2021,11.94,7.49,17.26
Lower middle,Americas,Bolivia,BOL,All,Poultry,DQQ19,2021,48.8,44.41,53.21
Lower middle,Americas,Bolivia,BOL,Male,Poultry,DQQ19,2021,50,43.83,56.17
Lower middle,Americas,Bolivia,BOL,Female,Poultry,DQQ19,2021,47.56,41.31,53.84
Lower middle,Americas,Bolivia,BOL,Urban,Poultry,DQQ19,2021,49.25,43.94,54.57
Lower middle,Americas,Bolivia,BOL,Rural,Poultry,DQQ19,2021,48.25,40.83,55.7
Lower middle,Americas,Bolivia,BOL,All,Processed meats,DQQ16,2021,26.34,22.61,30.25
Lower middle,Americas,Bolivia,BOL,Male,Processed meats,DQQ16,2021,30.18,24.89,35.76
Lower middle,Americas,Bolivia,BOL,Female,Processed meats,DQQ16,2021,22.34,17.2,27.95
Lower middle,Americas,Bolivia,BOL,Urban,Processed meats,DQQ16,2021,30.25,25.23,35.51
Lower middle,Americas,Bolivia,BOL,Rural,Processed meats,DQQ16,2021,21.4,16.16,27.15
Lower middle,Americas,Bolivia,BOL,All,Pulses,DQQ4,2021,54.33,49.95,58.69
Lower middle,Americas,Bolivia,BOL,Male,Pulses,DQQ4,2021,52.36,46.16,58.52
Lower middle,Americas,Bolivia,BOL,Female,Pulses,DQQ4,2021,56.39,50.22,62.46
Lower middle,Americas,Bolivia,BOL,Urban,Pulses,DQQ4,2021,52.18,46.85,57.47
Lower middle,Americas,Bolivia,BOL,Rural,Pulses,DQQ4,2021,57.13,49.74,64.36
Lower middle,Americas,Bolivia,BOL,All,Salty or fried snacks,NA,2021,37.35,33.11,41.69
Lower middle,Americas,Bolivia,BOL,Male,Salty or fried snacks,NA,2021,41.79,35.73,47.97
Lower middle,Americas,Bolivia,BOL,Female,Salty or fried snacks,NA,2021,32.73,26.89,38.86
Lower middle,Americas,Bolivia,BOL,Urban,Salty or fried snacks,NA,2021,36.51,31.33,41.84
Lower middle,Americas,Bolivia,BOL,Rural,Salty or fried snacks,NA,2021,38.42,31.39,45.7
Lower middle,Americas,Bolivia,BOL,All,"Salty snacks, instant noodles, or fast food",NA,2021,19.16,15.64,22.94
Lower middle,Americas,Bolivia,BOL,Male,"Salty snacks, instant noodles, or fast food",NA,2021,20.54,15.69,25.86
Lower middle,Americas,Bolivia,BOL,Female,"Salty snacks, instant noodles, or fast food",NA,2021,17.71,12.76,23.28
Lower middle,Americas,Bolivia,BOL,Urban,"Salty snacks, instant noodles, or fast food",NA,2021,19.08,14.72,23.87
Lower middle,Americas,Bolivia,BOL,Rural,"Salty snacks, instant noodles, or fast food",NA,2021,19.35,13.74,25.65
Lower middle,Americas,Bolivia,BOL,All,Sugar-sweetened beverages,NA,2021,88.91,85.98,91.54
Lower middle,Americas,Bolivia,BOL,Male,Sugar-sweetened beverages,NA,2021,91.5,87.84,94.56
Lower middle,Americas,Bolivia,BOL,Female,Sugar-sweetened beverages,NA,2021,86.22,81.46,90.38
Lower middle,Americas,Bolivia,BOL,Urban,Sugar-sweetened beverages,NA,2021,88.25,84.51,91.54
Lower middle,Americas,Bolivia,BOL,Rural,Sugar-sweetened beverages,NA,2021,89.71,84.81,93.76
Lower middle,Americas,Bolivia,BOL,All,Sugar-sweetened soft drink consumption,DQQ28,2021,38.13,33.9,42.45
Lower middle,Americas,Bolivia,BOL,Male,Sugar-sweetened soft drink consumption,DQQ28,2021,44.34,38.31,50.45
Lower middle,Americas,Bolivia,BOL,Female,Sugar-sweetened soft drink consumption,DQQ28,2021,31.66,25.91,37.7
Lower middle,Americas,Bolivia,BOL,Urban,Sugar-sweetened soft drink consumption,DQQ28,2021,39.16,34.06,44.38
Lower middle,Americas,Bolivia,BOL,Rural,Sugar-sweetened soft drink consumption,DQQ28,2021,36.97,30.03,44.2
Lower middle,Americas,Bolivia,BOL,All,Sweet foods,NA,2021,48.45,44.07,52.84
Lower middle,Americas,Bolivia,BOL,Male,Sweet foods,NA,2021,51.13,44.97,57.27
Lower middle,Americas,Bolivia,BOL,Female,Sweet foods,NA,2021,45.66,39.44,51.94
Lower middle,Americas,Bolivia,BOL,Urban,Sweet foods,NA,2021,53.84,48.49,59.14
Lower middle,Americas,Bolivia,BOL,Rural,Sweet foods,NA,2021,41.46,34.52,48.59
Lower middle,Americas,Bolivia,BOL,All,"Sweet tea, coffee, or cocoa",DQQ26,2021,74.88,71,78.56
Lower middle,Americas,Bolivia,BOL,Male,"Sweet tea, coffee, or cocoa",DQQ26,2021,77.32,72.02,82.21
Lower middle,Americas,Bolivia,BOL,Female,"Sweet tea, coffee, or cocoa",DQQ26,2021,72.33,66.54,77.77
Lower middle,Americas,Bolivia,BOL,Urban,"Sweet tea, coffee, or cocoa",DQQ26,2021,73.77,69.03,78.24
Lower middle,Americas,Bolivia,BOL,Rural,"Sweet tea, coffee, or cocoa",DQQ26,2021,76.19,69.57,82.23
Lower middle,Americas,Bolivia,BOL,All,Unprocessed red meat,NA,2021,57.39,52.98,61.75
Lower middle,Americas,Bolivia,BOL,Male,Unprocessed red meat,NA,2021,58.6,52.39,64.68
Lower middle,Americas,Bolivia,BOL,Female,Unprocessed red meat,NA,2021,56.14,49.84,62.34
Lower middle,Americas,Bolivia,BOL,Urban,Unprocessed red meat,NA,2021,59.09,53.92,64.16
Lower middle,Americas,Bolivia,BOL,Rural,Unprocessed red meat,NA,2021,55.15,47.57,62.61
Lower middle,Americas,Bolivia,BOL,All,Unprocessed red meat (non-ruminants),DQQ18,2021,11.5,8.81,14.5
Lower middle,Americas,Bolivia,BOL,Male,Unprocessed red meat (non-ruminants),DQQ18,2021,11.64,8.21,15.56
Lower middle,Americas,Bolivia,BOL,Female,Unprocessed red meat (non-ruminants),DQQ18,2021,11.36,7.37,16.09
Lower middle,Americas,Bolivia,BOL,Urban,Unprocessed red meat (non-ruminants),DQQ18,2021,11.54,8.18,15.39
Lower middle,Americas,Bolivia,BOL,Rural,Unprocessed red meat (non-ruminants),DQQ18,2021,11.17,7.02,16.15
Lower middle,Americas,Bolivia,BOL,All,Unprocessed red meat (ruminants),DQQ17,2021,51.68,47.26,56.08
Lower middle,Americas,Bolivia,BOL,Male,Unprocessed red meat (ruminants),DQQ17,2021,53.71,47.57,59.8
Lower middle,Americas,Bolivia,BOL,Female,Unprocessed red meat (ruminants),DQQ17,2021,49.55,43.2,55.92
Lower middle,Americas,Bolivia,BOL,Urban,Unprocessed red meat (ruminants),DQQ17,2021,53.77,48.49,59.01
Lower middle,Americas,Bolivia,BOL,Rural,Unprocessed red meat (ruminants),DQQ17,2021,49.21,41.79,56.65
Lower middle,Americas,Bolivia,BOL,All,Vitamin A-rich fruits,DQQ8,2021,25.68,22.01,29.54
Lower middle,Americas,Bolivia,BOL,Male,Vitamin A-rich fruits,DQQ8,2021,24.38,19.42,29.71
Lower middle,Americas,Bolivia,BOL,Female,Vitamin A-rich fruits,DQQ8,2021,27.04,21.7,32.73
Lower middle,Americas,Bolivia,BOL,Urban,Vitamin A-rich fruits,DQQ8,2021,25.61,21.33,30.13
Lower middle,Americas,Bolivia,BOL,Rural,Vitamin A-rich fruits,DQQ8,2021,25.74,19.48,32.55
Lower middle,Americas,Bolivia,BOL,All,Vitamin A-rich orange vegetables,DQQ5,2021,76.68,73.06,80.11
Lower middle,Americas,Bolivia,BOL,Male,Vitamin A-rich orange vegetables,DQQ5,2021,77.06,71.67,82.04
Lower middle,Americas,Bolivia,BOL,Female,Vitamin A-rich orange vegetables,DQQ5,2021,76.27,71.35,80.86
Lower middle,Americas,Bolivia,BOL,Urban,Vitamin A-rich orange vegetables,DQQ5,2021,77.81,73.76,81.61
Lower middle,Americas,Bolivia,BOL,Rural,Vitamin A-rich orange vegetables,DQQ5,2021,75.09,68.51,81.13
Lower middle,Americas,Bolivia,BOL,All,White roots or tubers,DQQ3,2021,73.8,69.77,77.64
Lower middle,Americas,Bolivia,BOL,Male,White roots or tubers,DQQ3,2021,75.53,69.94,80.72
Lower middle,Americas,Bolivia,BOL,Female,White roots or tubers,DQQ3,2021,72,66.06,77.57
Lower middle,Americas,Bolivia,BOL,Urban,White roots or tubers,DQQ3,2021,74.13,69.54,78.47
Lower middle,Americas,Bolivia,BOL,Rural,White roots or tubers,DQQ3,2021,73.41,66.14,80.08
Lower middle,Americas,Bolivia,BOL,All,Whole grains,DQQ2,2021,43.76,39.41,48.16
Lower middle,Americas,Bolivia,BOL,Male,Whole grains,DQQ2,2021,43.07,37.08,49.16
Lower middle,Americas,Bolivia,BOL,Female,Whole grains,DQQ2,2021,44.49,38.19,50.87
Lower middle,Americas,Bolivia,BOL,Urban,Whole grains,DQQ2,2021,44.41,39.14,49.74
Lower middle,Americas,Bolivia,BOL,Rural,Whole grains,DQQ2,2021,42.86,35.57,50.31
Lower middle,Americas,Bolivia,BOL,All,Yogurt,DQQ15,2021,22.34,19.03,25.83
Lower middle,Americas,Bolivia,BOL,Male,Yogurt,DQQ15,2021,23.56,18.83,28.64
Lower middle,Americas,Bolivia,BOL,Female,Yogurt,DQQ15,2021,21.07,16.61,25.91
Lower middle,Americas,Bolivia,BOL,Urban,Yogurt,DQQ15,2021,23.2,19.2,27.47
Lower middle,Americas,Bolivia,BOL,Rural,Yogurt,DQQ15,2021,21.33,15.92,27.29
Lower middle,Americas,Bolivia,BOL,All,Zero vegetable or fruit consumption,NA,2021,2.94,1.52,4.82
Lower middle,Americas,Bolivia,BOL,Male,Zero vegetable or fruit consumption,NA,2021,4.21,1.76,7.65
Lower middle,Americas,Bolivia,BOL,Female,Zero vegetable or fruit consumption,NA,2021,1.62,0.55,3.24
Lower middle,Americas,Bolivia,BOL,Urban,Zero vegetable or fruit consumption,NA,2021,2.98,1.36,5.2
Lower middle,Americas,Bolivia,BOL,Rural,Zero vegetable or fruit consumption,NA,2021,2.9,0.73,6.45
High,Americas,Chile,CHL,All,All-5,NA,2021,39.14,34.45,43.92
High,Americas,Chile,CHL,Male,All-5,NA,2021,37.32,30.82,44.07
High,Americas,Chile,CHL,Female,All-5,NA,2021,40.75,35.5,46.11
High,Americas,Chile,CHL,Urban,All-5,NA,2021,42.18,36.18,48.31
High,Americas,Chile,CHL,Rural,All-5,NA,2021,33.26,27.19,39.62
High,Americas,Chile,CHL,All,At least one vegetable,NA,2021,92.75,90.61,94.63
High,Americas,Chile,CHL,Male,At least one vegetable,NA,2021,92.43,89.23,95.11
High,Americas,Chile,CHL,Female,At least one vegetable,NA,2021,93.03,90.63,95.1
High,Americas,Chile,CHL,Urban,At least one vegetable,NA,2021,92.61,89.74,95.04
High,Americas,Chile,CHL,Rural,At least one vegetable,NA,2021,93.02,89.56,95.83
High,Americas,Chile,CHL,All,At least one fruit,NA,2021,82.32,78.84,85.55
High,Americas,Chile,CHL,Male,At least one fruit,NA,2021,77.03,71.01,82.54
High,Americas,Chile,CHL,Female,At least one fruit,NA,2021,87.03,84.04,89.76
High,Americas,Chile,CHL,Urban,At least one fruit,NA,2021,82.86,78.41,86.9
High,Americas,Chile,CHL,Rural,At least one fruit,NA,2021,81.26,75.06,86.76
High,Americas,Chile,CHL,All,"At least one pulse, nut, or seed",NA,2021,47.19,42.61,51.78
High,Americas,Chile,CHL,Male,"At least one pulse, nut, or seed",NA,2021,47.95,41.53,54.41
High,Americas,Chile,CHL,Female,"At least one pulse, nut, or seed",NA,2021,46.5,41.12,51.92
High,Americas,Chile,CHL,Urban,"At least one pulse, nut, or seed",NA,2021,49.33,43.57,55.1
High,Americas,Chile,CHL,Rural,"At least one pulse, nut, or seed",NA,2021,43.05,36.9,49.32
High,Americas,Chile,CHL,All,At least one animal-source food,NA,2021,97.34,96.07,98.37
High,Americas,Chile,CHL,Male,At least one animal-source food,NA,2021,97.42,95.35,98.89
High,Americas,Chile,CHL,Female,At least one animal-source food,NA,2021,97.27,95.64,98.52
High,Americas,Chile,CHL,Urban,At least one animal-source food,NA,2021,97.53,96.03,98.69
High,Americas,Chile,CHL,Rural,At least one animal-source food,NA,2021,96.96,94.13,98.88
High,Americas,Chile,CHL,All,At least one starchy staple food,NA,2021,95.97,94.4,97.29
High,Americas,Chile,CHL,Male,At least one starchy staple food,NA,2021,96.02,93.44,97.98
High,Americas,Chile,CHL,Female,At least one starchy staple food,NA,2021,95.93,93.94,97.53
High,Americas,Chile,CHL,Urban,At least one starchy staple food,NA,2021,95.82,93.74,97.5
High,Americas,Chile,CHL,Rural,At least one starchy staple food,NA,2021,96.26,93.7,98.18
High,Americas,Chile,CHL,All,Baked or grain-based sweets,DQQ11,2021,47.33,42.21,52.47
High,Americas,Chile,CHL,Male,Baked or grain-based sweets,DQQ11,2021,50.2,42.93,57.47
High,Americas,Chile,CHL,Female,Baked or grain-based sweets,DQQ11,2021,44.77,39.36,50.25
High,Americas,Chile,CHL,Urban,Baked or grain-based sweets,DQQ11,2021,51.69,45.53,57.82
High,Americas,Chile,CHL,Rural,Baked or grain-based sweets,DQQ11,2021,38.93,31.22,46.92
High,Americas,Chile,CHL,All,Cheese,DQQ14,2021,51.83,46.8,56.84
High,Americas,Chile,CHL,Male,Cheese,DQQ14,2021,52.95,45.5,60.33
High,Americas,Chile,CHL,Female,Cheese,DQQ14,2021,50.83,45.77,55.89
High,Americas,Chile,CHL,Urban,Cheese,DQQ14,2021,52.84,45.75,59.88
High,Americas,Chile,CHL,Rural,Cheese,DQQ14,2021,49.88,43.31,56.44
High,Americas,Chile,CHL,All,Citrus,DQQ9,2021,47.65,42.54,52.78
High,Americas,Chile,CHL,Male,Citrus,DQQ9,2021,46.24,38.73,53.84
High,Americas,Chile,CHL,Female,Citrus,DQQ9,2021,48.91,43.8,54.02
High,Americas,Chile,CHL,Urban,Citrus,DQQ9,2021,46.62,39.59,53.71
High,Americas,Chile,CHL,Rural,Citrus,DQQ9,2021,49.64,42.8,56.49
High,Americas,Chile,CHL,All,Dairy,NA,2021,74.81,70.45,78.94
High,Americas,Chile,CHL,Male,Dairy,NA,2021,75.08,68.69,80.96
High,Americas,Chile,CHL,Female,Dairy,NA,2021,74.58,69.83,79.05
High,Americas,Chile,CHL,Urban,Dairy,NA,2021,75.46,69.56,80.92
High,Americas,Chile,CHL,Rural,Dairy,NA,2021,73.57,66.46,80.11
High,Americas,Chile,CHL,All,Dark green leafy vegetables,DQQ6,2021,35.34,30.77,40.05
High,Americas,Chile,CHL,Male,Dark green leafy vegetables,DQQ6,2021,31.61,25.58,37.97
High,Americas,Chile,CHL,Female,Dark green leafy vegetables,DQQ6,2021,38.66,33.77,43.67
High,Americas,Chile,CHL,Urban,Dark green leafy vegetables,DQQ6,2021,37.9,32.21,43.76
High,Americas,Chile,CHL,Rural,Dark green leafy vegetables,DQQ6,2021,30.41,23.09,38.26
High,Americas,Chile,CHL,All,Deep fried foods,DQQ24,2021,23.3,17.74,29.37
High,Americas,Chile,CHL,Male,Deep fried foods,DQQ24,2021,30.08,22.45,38.31
High,Americas,Chile,CHL,Female,Deep fried foods,DQQ24,2021,17.26,12.46,22.65
High,Americas,Chile,CHL,Urban,Deep fried foods,DQQ24,2021,23.25,16.41,30.87
High,Americas,Chile,CHL,Rural,Deep fried foods,DQQ24,2021,23.4,14.49,33.69
High,Americas,Chile,CHL,All,Eggs,DQQ13,2021,64.93,59.59,70.08
High,Americas,Chile,CHL,Male,Eggs,DQQ13,2021,69.47,62.05,76.42
High,Americas,Chile,CHL,Female,Eggs,DQQ13,2021,60.88,55.23,66.38
High,Americas,Chile,CHL,Urban,Eggs,DQQ13,2021,65.69,59.21,71.88
High,Americas,Chile,CHL,Rural,Eggs,DQQ13,2021,63.46,53.62,72.77
High,Americas,Chile,CHL,All,Fast food,DQQ29,2021,9.27,4.79,15.03
High,Americas,Chile,CHL,Male,Fast food,DQQ29,2021,12.59,6.11,20.96
High,Americas,Chile,CHL,Female,Fast food,DQQ29,2021,6.31,3.38,10.08
High,Americas,Chile,CHL,Urban,Fast food,DQQ29,2021,12.53,6.08,20.88
High,Americas,Chile,CHL,Rural,Fast food,DQQ29,2021,2.97,1.14,5.63
High,Americas,Chile,CHL,All,Fish or seafood,DQQ20,2021,23.27,18.4,28.52
High,Americas,Chile,CHL,Male,Fish or seafood,DQQ20,2021,28.69,22.01,35.88
High,Americas,Chile,CHL,Female,Fish or seafood,DQQ20,2021,18.43,14.04,23.28
High,Americas,Chile,CHL,Urban,Fish or seafood,DQQ20,2021,24.56,18.85,30.76
High,Americas,Chile,CHL,Rural,Fish or seafood,DQQ20,2021,20.78,12.82,30.08
High,Americas,Chile,CHL,All,Foods made from grains,DQQ1,2021,81.59,78.25,84.7
High,Americas,Chile,CHL,Male,Foods made from grains,DQQ1,2021,81.2,75.69,86.14
High,Americas,Chile,CHL,Female,Foods made from grains,DQQ1,2021,81.94,78.49,85.15
High,Americas,Chile,CHL,Urban,Foods made from grains,DQQ1,2021,79.66,75.62,83.42
High,Americas,Chile,CHL,Rural,Foods made from grains,DQQ1,2021,85.31,79.95,89.96
High,Americas,Chile,CHL,All,Fruit juice and fruit drinks,DQQ27,2021,41.35,36.77,46
High,Americas,Chile,CHL,Male,Fruit juice and fruit drinks,DQQ27,2021,40.51,33.75,47.45
High,Americas,Chile,CHL,Female,Fruit juice and fruit drinks,DQQ27,2021,42.1,37.11,47.16
High,Americas,Chile,CHL,Urban,Fruit juice and fruit drinks,DQQ27,2021,39.51,34.12,45.02
High,Americas,Chile,CHL,Rural,Fruit juice and fruit drinks,DQQ27,2021,44.9,36.43,53.51
High,Americas,Chile,CHL,All,Instant noodles,DQQ23,2021,9.86,6.09,14.41
High,Americas,Chile,CHL,Male,Instant noodles,DQQ23,2021,11.22,6.67,16.78
High,Americas,Chile,CHL,Female,Instant noodles,DQQ23,2021,8.65,4.87,13.37
High,Americas,Chile,CHL,Urban,Instant noodles,DQQ23,2021,12.36,7.15,18.73
High,Americas,Chile,CHL,Rural,Instant noodles,DQQ23,2021,5.05,2.37,8.67
High,Americas,Chile,CHL,All,MDD-W,NA,2021,88.83,84.59,92.46
High,Americas,Chile,CHL,Male,MDD-W,NA,2021,0,NA,NA
High,Americas,Chile,CHL,Female,MDD-W,NA,2021,88.83,84.59,92.46
High,Americas,Chile,CHL,Urban,MDD-W,NA,2021,91.14,86.62,94.81
High,Americas,Chile,CHL,Rural,MDD-W,NA,2021,83.46,73.37,91.52
High,Americas,Chile,CHL,All,"Meat, poultry, or fish",NA,2021,87.59,84.27,90.57
High,Americas,Chile,CHL,Male,"Meat, poultry, or fish",NA,2021,89.94,85.55,93.6
High,Americas,Chile,CHL,Female,"Meat, poultry, or fish",NA,2021,85.49,81.55,89.04
High,Americas,Chile,CHL,Urban,"Meat, poultry, or fish",NA,2021,89.13,85.48,92.3
High,Americas,Chile,CHL,Rural,"Meat, poultry, or fish",NA,2021,84.62,77.69,90.46
High,Americas,Chile,CHL,All,Milk,DQQ25,2021,38.42,33.59,43.38
High,Americas,Chile,CHL,Male,Milk,DQQ25,2021,37.3,30.01,44.88
High,Americas,Chile,CHL,Female,Milk,DQQ25,2021,39.43,33.72,45.29
High,Americas,Chile,CHL,Urban,Milk,DQQ25,2021,41.03,34.72,47.5
High,Americas,Chile,CHL,Rural,Milk,DQQ25,2021,33.4,26.27,40.93
High,Americas,Chile,CHL,All,Nuts or seeds,DQQ21,2021,25.49,21.19,30.04
High,Americas,Chile,CHL,Male,Nuts or seeds,DQQ21,2021,26.21,20.18,32.73
High,Americas,Chile,CHL,Female,Nuts or seeds,DQQ21,2021,24.85,20.61,29.33
High,Americas,Chile,CHL,Urban,Nuts or seeds,DQQ21,2021,27.37,21.58,33.58
High,Americas,Chile,CHL,Rural,Nuts or seeds,DQQ21,2021,21.86,17.16,26.95
High,Americas,Chile,CHL,All,Other fruits,DQQ10,2021,72.67,68.75,76.42
High,Americas,Chile,CHL,Male,Other fruits,DQQ10,2021,67.3,60.94,73.34
High,Americas,Chile,CHL,Female,Other fruits,DQQ10,2021,77.46,73.38,81.29
High,Americas,Chile,CHL,Urban,Other fruits,DQQ10,2021,73.65,68.44,78.55
High,Americas,Chile,CHL,Rural,Other fruits,DQQ10,2021,70.78,64.27,76.89
High,Americas,Chile,CHL,All,Other sweets,DQQ12,2021,32.19,27.76,36.78
High,Americas,Chile,CHL,Male,Other sweets,DQQ12,2021,33.89,26.95,41.2
High,Americas,Chile,CHL,Female,Other sweets,DQQ12,2021,30.66,25.91,35.64
High,Americas,Chile,CHL,Urban,Other sweets,DQQ12,2021,34.92,29.29,40.76
High,Americas,Chile,CHL,Rural,Other sweets,DQQ12,2021,26.92,20.87,33.44
High,Americas,Chile,CHL,All,Other vegetables,DQQ7,2021,81.67,77.58,85.43
High,Americas,Chile,CHL,Male,Other vegetables,DQQ7,2021,82.47,77.2,87.18
High,Americas,Chile,CHL,Female,Other vegetables,DQQ7,2021,80.96,76.27,85.24
High,Americas,Chile,CHL,Urban,Other vegetables,DQQ7,2021,82.5,78.18,86.44
High,Americas,Chile,CHL,Rural,Other vegetables,DQQ7,2021,80.07,71,87.79
High,Americas,Chile,CHL,All,Packaged ultra-processed salty snacks,DQQ22,2021,20.8,16.25,25.75
High,Americas,Chile,CHL,Male,Packaged ultra-processed salty snacks,DQQ22,2021,22.43,16.71,28.73
High,Americas,Chile,CHL,Female,Packaged ultra-processed salty snacks,DQQ22,2021,19.34,14.63,24.54
